division,method,count,location_quotient,division_share,overall_share,specialized
RAND Climate and Environment,Impact Assessment,8,27.424648577966654,0.1052631578947368,0.0038382682496543,True
RAND Climate and Environment,Foresight,8,14.668998076586815,0.1052631578947368,0.0071758928145711,True
RAND Climate and Environment,Simulation,36,7.517653384312085,0.4736842105263157,0.0630095837505364,True
RAND Climate and Environment,Systematic Review,8,2.708814982240878,0.1052631578947368,0.038859486005817,True
RAND Education and Labor,Center for Causal Inference,5,9.40915208613728,0.0011215791834903,0.0001192008773184,True
RAND Education and Labor,Center for Gaming,8,9.40915208613728,0.0017945266935845,0.0001907214037095,True
RAND Education and Labor,Structural equation modeling,4,9.40915208613728,0.0008972633467922,9.536070185476564e-05,True
RAND Education and Labor,Econometric Analysis,8,8.363690743233139,0.0017945266935845,0.0002145615791732,True
RAND Education and Labor,Random effects,4,6.272768057424854,0.0008972633467922,0.0001430410527821,True
RAND Education and Labor,NER,29,4.263522039030955,0.006505159264244,0.0015257712296762,True
RAND Education and Labor,Fixed effects,120,4.120796534074722,0.0269179004037685,0.0065322080770514,True
RAND Education and Labor,stacking,28,3.874356741350645,0.0062808434275459,0.001621131931531,True
RAND Education and Labor,Mixed-Methods,165,3.705274687858357,0.0370121130551817,0.0099890335192867,True
RAND Education and Labor,algorithmic bias,40,3.58443888995706,0.0089726334679228,0.0025032184236875,True
RAND Education and Labor,Survey Design,50,3.484871143013808,0.0112157918349035,0.0032184236875983,True
RAND Education and Labor,Sampling Strategy,17,3.403310329028378,0.0038133692238672,0.0011204882467934,True
RAND Education and Labor,Focus Group,226,2.937111010313572,0.050695379093764,0.0172602870357125,True
RAND Education and Labor,Meta-Analysis,296,2.8981363345438456,0.0663974876626289,0.0229104086206074,True
RAND Education and Labor,Program Evaluation,235,2.8567839021217845,0.0527142216240466,0.0184522958088971,True
RAND Education and Labor,Causal Inference,18,2.776471107384772,0.0040376850605652,0.0014542507032851,True
RAND Education and Labor,Qualitative Data Analysis,36,2.7316893153301787,0.0080753701211305,0.0029561817574977,True
RAND Education and Labor,Implementation Science,61,2.632836134194377,0.0136832660385823,0.0051971582510847,True
